分類,圖標,問題,答案,詳情
terrain,fa-mountain,中國最高的高原,青藏高原,平均海拔4000m以上號稱世界屋脊面積約250萬km²
terrain,fa-mountain,中國最大的盆地,塔里木盆地,面積約53萬km²內有塔克拉瑪干沙漠
terrain,fa-mountain,中國最大的平原,東北平原,面積約35萬km²黑土地肥沃
terrain,fa-mountain,中國最長的山脈,崑崙山脈,全長約2500km被稱萬山之祖
terrain,fa-mountain,中國海拔最高的山峰,珠穆朗瑪峰,海拔8848.86m世界第一高峰
water,fa-water,中國最長的河流,長江,全長6300km世界第三長河航運價值最高
water,fa-water,中國最大的淡水湖,鄱陽湖,位於江西省面積季節性變化大
water,fa-water,中國最大的湖泊鹹水湖,青海湖,位於青海省面積約4500km²
water,fa-water,中國最長的內流河,塔里木河,全長約2137km位於新疆
climate,fa-cloud-sun,中國降水量最多的地方,火燒寮,位於臺灣新北市年均降水量超過6500mm
climate,fa-cloud-sun,中國最熱的地方,吐魯番盆地,極端最高氣溫49.6°C有火洲之稱
climate,fa-cloud-sun,中國最冷的地方,漠河,極端最低氣溫-52.3°C位於黑龍江省
human,fa-users,中國人口最多的省級行政區,廣東省,常住人口超過1.26億
human,fa-users,中國面積最大的省級行政區,新疆維吾爾自治區,面積約166萬km²佔全國1/6
human,fa-users,中國少數民族最多的省,雲南省,有25個少數民族少數民族人口約1563萬
human,fa-users,中國人口密度最高的城市,澳門,人口密度超過2萬人/km²全球最高之一